EMPLOYEE_ID,BONUS,FIRST_NAME,STORE_ID,PRODUCT,SUBCATEGORIES,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,RESIGNATION_DATE,JOB_ID,SALES_ORDERID,LOCATION,SALARY,COMMISSION_PCT,MANAGER_ID,MANAGER,MALAST_NAME,DEPARTMENT_ID,DEPARTMENT,DEPARTMENT_NAME,YEAR,VENDOR,CITY,THE_OUTPUT,STREET_ADDRESS
101,2000,Neena,111,CREAM,15,Kochhar,NKOCHHAR,515.123.4568,21-Sep-05,13-OCT-09,SALES,567,"STREET BAUGH",17000,1500,100,"JUSTIN ",SINGH,90,1,SALES,2001,MAHESH,RIG,NULL,NULL
102,2000,Lex,212,FOUNDATION,12,"De Haan",LDEHAAN,515.123.4569,13-Jan-01,25-JUNE-05,AD_VP,764,"KAROL BAUGH",17000,2000,100,MADDY,SHUKLA,90,2,SALES,2004,ROHAN,KANPUR,NULL,NULL
103,2000,Alexander,343,LENSE,13,Hunold,AHUNOLD,590.423.4567,14-FEB-09,08-SEP-10,IT_PROG,989,KIMKIM,9000,4000,102,SOHAN,PARMAR,60,3,PURCHASE,2005,SURESH,SULTANPUR,NULL,NULL
104,5000,Bruce,567,EYESHADOW,16,Ernst,BERNST,590.423.4568,21-May-07,05-APRIL-08,IT_PROG,456,TIMTIM,6000," - ",103,ROHAN,THAKUR,60,4,PURCHASE,2001,"KU,MU",ATLANTA,NULL,NULL
105,7000,David,345,CREAMY,17,Austin,DAUSTIN,590.423.4569,25-Jun-05,30-AUG-12,IT_PROG,563,CPROAD,4800," - ",103,CADDY,GOEL,60,5,ORDER,2001,SNEHA,CA,NULL,NULL
106,NULL,Valli,987,NULL,NULL,Pataballa,VPATABAL,590.423.4560,01-1-2000,03-08-2017,IT_PROG,789,CGROAD,4800," - ",103,JIM,PANDEY,60,6,OPERATION,2002,SHANU,NEWYORK,NULL,NULL
107,NULL,Diana,NULL,NULL,NULL,Lorentz,DLORENTZ,590.423.5567,22-09-2003,3-08-2017,IT_PROG,NULL,NULL,4200," - ",103,NULL,NULL,60,7,NULL,2003,MONA,AMERCIA,NULL,NULL
108,NULL,Nancy,NULL,NULL,NULL,Greenberg,NGREENBE,515.124.4569,13-04-2015,NULL,FI_MGR,NULL,NULL,12008," - ",101,NULL,NULL,100,8,NULL,NULL,NULL,NULL,NULL,NULL
109,NULL,Daniel,NULL,NULL,NULL,Faviet,DFAVIET,515.124.4169,03-O6-2016,NULL,FI_ACCOUNT,NULL,NULL,9000," - ",108,NULL,NULL,100,9,NULL,NULL,NULL,NULL,NULL,NULL
110,NULL,John,NULL,NULL,NULL,Chen,JCHEN,515.124.4269,08-08-2017,NULL,SALES,NULL,NULL,8200," - ",108,NULL,NULL,100,10,NULL,NULL,NULL,NULL,NULL,NULL
111,NULL,Ismael,NULL,NULL,NULL,Sciarra,ISCIARRA,515.124.4369,13-11-2016,NULL,FI_ACCOUNT,NULL,NULL,7700," - ",108,NULL,NULL,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112,NULL,"Jose Manuel",NULL,NULL,NULL,Urman,JMURMAN,515.124.4469,07-Mar-06,NULL,FI_ACCOUNT,NULL,NULL,7800," - ",108,NULL,NULL,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL
113,NULL,Luis,NULL,NULL,NULL,Popp,LPOPP,515.124.4567,07-Dec-07,NULL,FI_ACCOUNT,NULL,NULL,6900," - ",108,NULL,NULL,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL
114,NULL,Den,NULL,NULL,NULL,FILLMORE,DRAPHEAL,515.127.4561,07-Dec-02,NULL,PU_MAN,NULL,NULL,11000," - ",100,NULL,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115,NULL,Alexander,NULL,NULL,NULL,Khoo,AKHOO,515.127.4562,18-May-03,NULL,PU_CLERK,NULL,NULL,3100," - ",114,NULL,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL
116,NULL,Shelli,NULL,NULL,NULL,Baida,SBAIDA,515.127.4563,24-Dec-05,NULL,PU_CLERK,NULL,NULL,2900," - ",114,NULL,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117,NULL,Sigal,NULL,NULL,NULL,FILLMORE,STOBIAS,515.127.4564,24-Jul-05,NULL,PU_CLERK,NULL,NULL,2800," - ",114,NULL,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118,NULL,Guy,NULL,NULL,NULL,Himuro,GHIMURO,515.127.4565,15-Nov-06,NULL,PU_CLERK,NULL,NULL,2600," - ",114,NULL,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL
119,NULL,Karen,NULL,NULL,NULL,Colmenares,KCOLMENA,515.127.4566,10-Aug-07,NULL,PU_CLERK,NULL,NULL,2500," - ",114,NULL,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL
